track,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Out Of The Frame,Miss K8,0.0427,0.562,190800,0.996,0.00000302,9,0.953,-0.884,1,0.339,199.973,0.278
Singles You Up,Jordan Davis,0.0491,0.491,182667,0.907,0,7,0.242,-3.594,1,0.0481,199.943,0.631
All Over The Road,Easton Corbin,0.0471,0.491,163067,0.841,0,5,0.0886,-3.579,1,0.0421,199.851,0.721
Simple,Florida Georgia Line,0.0791,0.362,185200,0.882,0,3,0.15,-3.717,1,0.0973,199.811,0.864
Man Of The Woods,Justin Timberlake,0.315,0.624,243987,0.452,0.0000102,0,0.311,-8.206,1,0.0681,199.775,0.724
Angst,Arcturus,0.0000035,0.136,266748,0.929,0.769,2,0.193,-5.27,1,0.0703,199.627,0.134
Levels,Nick Jonas,0.0488,0.432,167693,0.656,0,5,0.256,-4.669,0,0.428,199.232,0.66
Crying On A Suitcase,Casey James,0.147,0.402,221387,0.7,0,4,0.0992,-4.613,1,0.0348,198.972,0.496
But Mostly Metal,Toehider,0.0199,0.342,240080,0.993,0,2,0.104,-2.897,1,0.331,198.574,0.0941
Shellshock,Wolfpack,0.00000134,0.123,118307,0.968,0.946,0,0.0559,-4.237,0,0.0962,198.548,0.0553
Beat It,Sean Kingston Featuring Chris Brown & Wiz Khalifa,0.00487,0.477,253453,0.637,0,1,0.284,-5.386,1,0.109,198.12,0.555
Corazon,Maluma X Nego do Borel,0.328,0.722,184720,0.738,0.0000147,9,0.198,-6.073,0,0.247,198.075,0.748
Victims of Hate,Dangerous,0.0000128,0.165,293893,0.982,0.00722,4,0.0812,-4.602,1,0.309,197.803,0.295
Primal Life Code,Winterwolf,0.0000046,0.0989,226543,0.932,0.922,1,0.308,-9.917,1,0.0976,196.411,0.195
Bioactive,Sybreed,0.00000713,0.34,384640,0.967,0.379,10,0.104,-6.367,0,0.144,196.309,0.298
You Know You Like It,DJ Snake & AlunaGeorge,0.0141,0.407,247267,0.725,0.00000246,5,0.306,-5.346,0,0.188,196.093,0.247
Let's Go Crazy,Prince And The Revolution,0.0192,0.309,280000,0.93,0.0022,11,0.106,-6.399,1,0.125,195.815,0.376
Punk Rock And Roll,Street Dogs,0.000516,0.362,154960,0.987,0,4,0.346,-5.028,1,0.167,195.063,0.52
Holiday in Cambodia,Destruction,0.0000223,0.416,246547,0.989,0.0959,0,0.0371,-3.227,0,0.121,194.925,0.603
Red Nose,Sage The Gemini,0.414,0.681,193200,0.473,0,11,0.0794,-5.733,0,0.449,194.826,0.766
Min Hyllning Till Jämtland,Roger Bäck,0.605,0.271,166905,0.524,0.0014,1,0.182,-7.545,0,0.0606,194.563,0.623
Leather Teeth,Carpenter Brut,0.0000328,0.317,232947,0.933,0.936,7,0.547,-3.552,0,0.0869,194.105,0.196
Blank Space,I Prevail,0.00302,0.437,240928,0.863,0,11,0.144,-5.28,0,0.0941,194.073,0.233
Bubble Butt,"Major Lazer Featuring Bruno Mars, Tyga & Mystic",0.0115,0.765,227813,0.771,0.00237,7,0.606,-6.99,1,0.347,194.072,0.394
Cecilia And The Satellite,Andrew McMahon In The Wilderness,0.0131,0.381,223880,0.844,0,5,0.318,-7.123,1,0.144,194,0.239
God morgen vår!,Nanahira,0.0559,0.472,254147,0.868,0.000939,11,0.331,-4.18,1,0.115,193.911,0.641
Feel No Ways,Drake,0.0319,0.588,240653,0.674,0.00000755,7,0.122,-7.083,1,0.171,193.893,0.198
Satan's Vengeance,Destruction,0.0000606,0.201,202573,0.993,0.328,9,0.346,-3.169,0,0.32,193.768,0.233
My PYT,Wale,0.0298,0.563,235652,0.414,0,0,0.0854,-11.409,1,0.37,193.549,0.446
Mother of the Sepulchres,Satanika,0.0000609,0.153,178227,0.998,0.943,9,0.162,-5.066,1,0.38,193.547,0.288
We'll Be Fine,Drake Featuring Birdman,0.00171,0.386,247947,0.488,0,1,0.64,-7.303,0,0.422,193.397,0.217
Who Do You Love?,YG Featuring Drake,0.0281,0.676,233507,0.415,0,9,0.0915,-9.752,1,0.508,193.206,0.146
Crimson,Craft,0.0000113,0.0994,288606,0.835,0.772,7,0.0945,-6.396,1,0.0423,193.205,0.0953
Champagne Life,Ne-Yo,0.143,0.616,323933,0.741,0,7,0.347,-4.155,1,0.131,193.069,0.593
The Best I Ever Had - Allbum Version,The Swellers,0.0000909,0.359,239560,0.983,0.0000354,2,0.335,-3.69,0,0.0864,193.042,0.486
True Love,P!nk Featuring Lily Allen,0.00144,0.457,230733,0.823,0,9,0.108,-4.76,1,0.311,192.205,0.578
Pretty Little Fears,6LACK Featuring J. Cole,0.696,0.61,240342,0.458,0.000103,9,0.0852,-11.336,1,0.36,192.099,0.246
Machi Engalukku Ellam,Hiphop Tamizha,0.0981,0.582,149483,0.975,0.00000384,7,0.081,-2.455,1,0.185,192.041,0.587
Rocking from Beginning to End (feat. Kenny Keys),Tall Black Guy,0.152,0.651,268000,0.485,0.509,9,0.267,-7.54,0,0.206,191.997,0.29
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,0.0235,0.736,192779,0.622,0,6,0.151,-4.653,0,0.133,191.971,0.506
The Greatest,Sia Featuring Kendrick Lamar,0.0102,0.668,210227,0.725,0.000479,1,0.0561,-6.127,1,0.266,191.944,0.729
Santa Tell Me,Ariana Grande,0.0489,0.525,204093,0.621,0,7,0.294,-7.364,1,0.116,191.9,0.591
I'll Show You,Justin Bieber,0.05,0.361,199947,0.608,0.0000796,9,0.183,-6.757,0,0.098,191.812,0.0789
This Is Me,Keala Settle & The Greatest Showman Ensemble,0.00583,0.284,234707,0.704,0.000115,2,0.0424,-7.276,1,0.186,191.702,0.1
Sorry,Rick Ross Featuring Chris Brown,0.0183,0.494,265347,0.798,0,5,0.118,-4.329,0,0.113,191.587,0.4
Heavy Metal Payback,Frank White,0.319,0.613,269920,0.877,0,6,0.0456,-4.718,0,0.444,191.484,0.644
Growing Pains,Alessia Cara,0.0822,0.353,193680,0.755,0,1,0.39,-6.276,0,0.733,191.153,0.437
A Hole In the Bucket - Live,Harry Belafonte,0.705,0.407,269933,0.122,0,5,0.964,-22.966,1,0.503,190.583,0.674
Lonesome XOXO,Led Er Est,0.0346,0.378,146498,0.774,0.00028,7,0.0951,-4.425,0,0.0445,190.197,0.171
Luv,Tory Lanez,0.0108,0.539,228640,0.528,0,11,0.117,-8.113,0,0.252,190.169,0.252
Boyfriend,Ariana Grande & Social House,0.119,0.4,186107,0.795,0,10,0.159,-3.731,0,0.461,190.097,0.702
Twerk,City Girls Featuring Cardi B,0.121,0.788,166476,0.842,0.00112,4,0.166,-4.006,0,0.142,190.077,0.481
679,Fetty Wap Featuring Remy Boyz,0.00256,0.618,196693,0.717,0,7,0.625,-5.738,1,0.318,190.05,0.603
Hookah,Tyga Featuring Young Thug,0.735,0.678,202320,0.484,0,1,0.117,-6.647,0,0.43,190.04,0.219
Baby By Me,50 Cent Featuring Ne-Yo,0.0045,0.619,213360,0.827,0.0134,0,0.0283,-4.665,0,0.0852,190.031,0.354
Kerala Song,Hiphop Tamizha,0.163,0.523,237552,0.947,0,7,0.451,-2.6,1,0.258,190.013,0.653
"Kerala Song - From ""Natpe Thunai""",Hiphop Tamizha,0.163,0.523,237552,0.947,0,7,0.451,-2.6,1,0.258,190.013,0.653
When I See You Dance With Another,Royal Republic,0.000232,0.486,169560,0.971,0.000294,8,0.135,-3.321,1,0.113,190.012,0.688
Element.,Kendrick Lamar,0.204,0.748,208733,0.705,0,4,0.246,-4.547,0,0.485,189.891,0.483
Chained To The Rhythm,Katy Perry Featuring Skip Marley,0.0814,0.446,237733,0.8,0,0,0.199,-5.404,1,0.174,189.89,0.474
Animals,Maroon 5,0.000185,0.279,231013,0.742,0,4,0.593,-6.46,0,0.0898,189.868,0.328
Love Me Like You Do,Ellie Goulding,0.247,0.262,252534,0.606,0,8,0.125,-6.646,1,0.0484,189.857,0.275
The Golden Age of Bloodshed,Rowland S. Howard,0.000532,0.181,270987,0.604,0.185,2,0.112,-8.098,1,0.039,189.785,0.147
Your Love,Nicki Minaj,0.00204,0.424,245253,0.52,0.00413,11,0.411,-10.231,1,0.343,189.613,0.184
Loving You No More,Diddy - Dirty Money Featuring Drake,0.0331,0.41,245000,0.688,0,8,0.205,-2.228,0,0.0372,189.607,0.465
Screaming,Marshall Law,0.00115,0.313,308640,0.852,0.689,11,0.3,-13.922,0,0.0614,189.584,0.357
Rock Holy,Hiss Golden Messenger,0.624,0.466,221198,0.747,0.0524,7,0.0823,-8.305,0,0.0622,189.367,0.645
Peace To All Freaks,of Montreal,0.0163,0.524,284864,0.871,0.00003,4,0.0804,-5.402,1,0.0336,189.006,0.84
Necromance,Invincible Force,0.0131,0.206,177040,0.995,0.799,8,0.529,-5.096,1,0.194,188.961,0.172
Bunker of Armageddon,Invincible Force,0.00874,0.266,204280,0.996,0.804,8,0.35,-4.767,1,0.231,188.852,0.245
Gimme D' Road - Carnival Mix,Calypso Rose,0.116,0.395,191905,0.927,0,4,0.441,-4.418,1,0.165,188.384,0.941
Almost Like Praying,Lin-Manuel Miranda Featuring Artists For Puerto Rico,0.0198,0.471,200457,0.791,0,5,0.232,-3.373,0,0.238,188.36,0.507
Insane,Flume,0.0505,0.348,213884,0.536,0.0000597,5,0.121,-8.257,0,0.0454,188.069,0.0479
Serotonin,In Her Own Words,0.0000606,0.376,210750,0.945,0,1,0.14,-4.917,0,0.185,188.052,0.387
Stand By You,Rachel Platten,0.146,0.506,219000,0.897,0.000451,9,0.0868,-4.632,1,0.26,188.03,0.525
Zombie,Chief State,0.000111,0.473,208423,0.967,0.00259,5,0.101,-4.86,0,0.0792,188.001,0.453
KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",0.0321,0.599,151915,0.857,0,7,0.4,-5.7,1,0.299,187.985,0.469
Tú Eres La Razón - Electrocumbia Remake,Raymix,0.268,0.67,195440,0.814,0,0,0.0987,-3.798,1,0.0421,187.974,0.965
When We Stand Together,Nickelback,0.000102,0.446,190787,0.9,0.0000189,10,0.0404,-3.541,0,0.0489,187.961,0.88
Get Her Back,Robin Thicke,0.915,0.579,213173,0.287,0,4,0.0969,-13.642,0,0.0828,187.797,0.735
Qué Tal Si Eres Tu,Los Tigres Del Norte,0.194,0.618,178973,0.844,0,2,0.341,-4.377,1,0.108,187.642,0.968
First Class,Arijit Singh,0.449,0.534,276960,0.959,0,1,0.354,-3.67,0,0.361,187.576,0.751
Noitien tuho,Heavy Metal Perse,0.000556,0.168,250720,0.959,0,10,0.0843,-3.853,0,0.106,187.169,0.453
Killing Machine - Live,Living Death,0.00583,0.109,177747,0.975,0.0000106,11,0.961,-9.323,0,0.129,187.037,0.116
U.O.E.N.O.,Rocko Featuring Future & Rick Ross,0.422,0.422,260276,0.641,0,10,0.317,-4.947,0,0.323,187.027,0.654
It's Only Rock & Roll (But I Like It),Clinic,0.735,0.579,186703,0.571,0.931,2,0.131,-9.435,1,0.169,186.698,0.603
I'll Go Crazy,Tommy James & The Shondells,0.402,0.34,136467,0.596,0,2,0.0718,-8.367,0,0.0445,186.62,0.963
Blooddawn,Marduk,0.00000103,0.0669,259467,0.987,0.582,1,0.329,-4.875,0,0.106,186.27,0.0342
You Don't Own Me,Grace Featuring G-Eazy,0.159,0.332,201493,0.635,0.00000279,7,0.0599,-5.653,1,0.0898,186.249,0.261
Erase Me,Kid Cudi Featuring Kanye West,0.063,0.688,192253,0.631,0,9,0.108,-5.612,1,0.13,186.066,0.854
Dissatisfied Existence,Destruction,0.000081,0.448,274187,0.989,0.785,2,0.0893,-2.586,1,0.143,186.007,0.428
Starboy,The Weeknd Featuring Daft Punk,0.141,0.678,230453,0.588,0.00000635,7,0.137,-7.015,1,0.276,186.005,0.486
Storm Warning,Hunter Hayes,0.0331,0.483,239907,0.843,0,2,0.134,-5.62,1,0.0835,185.998,0.772
Avril 14th,Murcof,0.943,0.261,294015,0.242,0.924,1,0.0676,-20.751,1,0.0404,185.974,0.0392
Therapeutin,Pöbel MC,0.172,0.541,258962,0.745,0,0,0.189,-8.199,1,0.596,185.966,0.276
Whataya Want From Me,Adam Lambert,0.00706,0.44,227320,0.683,0,11,0.0593,-4.732,0,0.0489,185.948,0.445
Blue,Dj Spinna,0.000175,0.85,110262,0.636,0.927,7,0.0915,-10.435,0,0.469,185.89,0.132
Rock Love,Lando Chill,0.19,0.349,208727,0.876,0.0019,9,0.232,-4.317,0,0.324,185.777,0.553
C'est la vie - Acoustic,Bobby Bazini,0.842,0.524,207907,0.303,0,0,0.11,-6.772,1,0.0467,185.629,0.523
All Through the Night,Sleeping At Last,0.949,0.309,197804,0.204,0,3,0.127,-10.867,1,0.0397,185.309,0.289
Reality,Kenny Chesney,0.00296,0.315,210640,0.925,0.0642,0,0.114,-4.507,1,0.117,185.305,0.415
Hardcore Punk,Epicycle,0.00528,0.299,141360,0.954,0.000103,9,0.0907,-5.693,1,0.305,185.233,0.435
"Exit, Exist",After The Burial,0.0000168,0.329,234834,0.926,0.746,10,0.0816,-3.966,0,0.141,185.124,0.464
The Heartless,Tha Playah,0.0257,0.526,189405,0.966,0.000195,2,0.336,-0.902,1,0.3,185.083,0.221
Brave,Sara Bareilles,0.00502,0.551,220573,0.836,0.000021,10,0.0425,-3.838,0,0.0524,185.063,0.758
All The Good Girls Go To Hell,Billie Eilish,0.283,0.726,168840,0.444,0.143,8,0.177,-8.922,0,0.372,185.044,0.569
White Liar,Miranda Lambert,0.0499,0.35,287760,0.777,0.000742,10,0.413,-4.33,1,0.0336,185.04,0.419
你就是传奇,窒息,0.00129,0.403,216053,0.973,0,6,0.324,-2.21,1,0.0682,185.034,0.285
穹顶之下,窒息,0.00302,0.468,261173,0.952,0,0,0.365,-2.932,1,0.106,185.024,0.304
Come Get Her,Rae Sremmurd,0.187,0.689,212947,0.564,0,2,0.0721,-6.226,1,0.136,185.023,0.123
In Friends We Trust,"Chunk! No, Captain Chunk!",0.000232,0.381,207040,0.962,0.0115,5,0.239,-4.882,0,0.0827,185.007,0.402
Kill or Be Killed,Spite,0.000531,0.34,215917,0.986,0.0000381,11,0.424,-4.342,0,0.302,185.005,0.0795
I Luv This Sh*t,August Alsina Featuring Trinidad James,0.00796,0.365,266147,0.611,0,8,0.176,-5.911,0,0.286,184.848,0.272
Solitude,McCoy Tyner,0.893,0.479,309267,0.251,0.693,0,0.204,-18.33,1,0.0581,184.842,0.692
Immortal,21 Savage,0.00813,0.741,254723,0.87,0,6,0.114,-3.494,0,0.503,184.194,0.663
Powerpigs,Wolfpack,0.00000111,0.205,180067,0.985,0.752,5,0.119,-4.297,0,0.116,184.129,0.0515
We Are Young,fun. Featuring Janelle Monae,0.02,0.378,250627,0.638,0.0000766,10,0.0849,-5.576,1,0.075,184.086,0.735
I Can't Go For That / You Make My Dreams,Glee Cast,0.0264,0.637,161320,0.836,0,2,0.0958,-3.941,1,0.0789,184.04,0.898
Got 2 Luv U,Sean Paul Featuring Alexis Jordan,0.0825,0.605,196640,0.793,0,7,0.124,-3.084,0,0.297,184.032,0.647
Feelin' It,Scotty McCreery,0.1,0.586,198227,0.759,0,7,0.084,-5.338,1,0.0457,184.031,0.687
He Sentido Amor - Corazón Tun Tun,Grupo Los Kiero de Edgar Zacary,0.00937,0.598,306133,0.78,0.0417,4,0.105,-5.689,0,0.051,184.003,0.832
Drugstore,Def Cut,0.0000849,0.693,196282,0.723,0.773,2,0.121,-7.513,1,0.164,184.003,0.402
Black Metal,Destruction,0.0000431,0.364,194369,0.974,0.00838,2,0.636,-4.324,1,0.161,183.98,0.293
It's Not Unusual,Glee Cast,0.0313,0.408,125267,0.975,0,0,0.353,-4.339,1,0.137,183.962,0.635
Calle Cartel - Original Mix,Knowa Knowone,0.00525,0.685,262478,0.863,0.438,7,0.312,-5.133,1,0.222,183.944,0.53
Hi Sonna Pothum,Hiphop Tamizha,0.285,0.482,230431,0.696,0.00000203,0,0.115,-6.646,0,0.089,183.932,0.655
Hurt You,The Weeknd Featuring Gesaffelstein,0.263,0.476,230027,0.718,0.00261,5,0.109,-7.227,0,0.149,183.932,0.361
As She's Walking Away,Zac Brown Band Featuring Alan Jackson,0.474,0.553,223827,0.619,0,3,0.123,-7.101,1,0.0308,183.91,0.374
The Invite,Dj Spinna,0.000236,0.685,104428,0.744,0.839,11,0.0842,-4.541,1,0.0488,183.848,0.719
Redneck Rockstar,The Lacs,0.05,0.506,210754,0.952,0,0,0.438,-3.459,1,0.163,183.619,0.647
Songbird,Glee Cast,0.964,0.32,198147,0.0622,0.0000012,5,0.0867,-10.938,1,0.039,183.497,0.393
Departure Suicide,Taetre,0.00000323,0.164,278760,0.927,0.603,1,0.0895,-5.32,1,0.0624,183.484,0.24
Just Because,Martin Dupont,0.188,0.383,300507,0.469,0.0759,6,0.268,-14.808,1,0.0374,183.364,0.395
Reverse Culture Music,Steve Hauschildt,0.945,0.47,369254,0.333,0.926,5,0.134,-19.166,0,0.0344,183.327,0.725
The Only Way I Know,Jason Aldean With Luke Bryan & Eric Church,0.227,0.511,193187,0.798,0.00000651,7,0.184,-4.314,1,0.0498,183.303,0.607
Charcoal Baby,Blood Orange,0.14,0.622,242341,0.46,0.000369,7,0.119,-8.389,0,0.0372,183.241,0.514
Rock 'n' Roll,Disgrace,0.0202,0.201,214973,0.988,0.0148,0,0.413,-5.12,0,0.0915,183.169,0.52
Residual Twilight Dawn,Anthelion,0.0000124,0.333,297947,0.971,0.617,7,0.248,-4.142,1,0.0944,183.03,0.215
Fall,Eminem,0.227,0.83,262494,0.546,0,1,0.112,-5.716,1,0.295,182.973,0.535
Yo Pe - Remix,Innoss'B,0.13,0.472,272707,0.838,0.0000152,6,0.283,-3.918,0,0.161,182.816,0.818
San Cristóbal,Mal Blum,0.887,0.516,270587,0.292,0,7,0.101,-8.875,1,0.0598,182.778,0.762
The Metal East,Lightning Bolt,0.0000119,0.146,252657,0.991,0.772,1,0.368,-2.148,1,0.19,182.678,0.387
The Piano : The Heart Asks Pleasure First,Michael Nyman,0.992,0.149,135360,0.119,0.894,9,0.105,-26.498,0,0.0505,182.467,0.193
Hip Hop Dominicano,Redimi2,0.0793,0.538,310857,0.873,0,6,0.217,-4.97,1,0.376,182.448,0.745
The Piano : The Heart Asks Pleasure First,Michael Nyman,0.991,0.131,136028,0.146,0.889,9,0.097,-24.477,0,0.0466,182.395,0.146
Jack Metal - Demo,Pray TV,0.00102,0.124,188372,0.935,0.00123,10,0.776,-7.686,1,0.072,182.364,0.401
Metal Rages On - Edit 2019,Fireforce,0.0000464,0.369,205000,0.966,0.0000381,0,0.226,-3.713,1,0.0564,182.133,0.293
Born to Play Metal,Fireforce,0.0000425,0.376,212107,0.971,0.0000544,0,0.0695,-3.874,1,0.0587,182.131,0.253
Wall Of Glass,Liam Gallagher,0.0000642,0.351,223547,0.939,0.00113,0,0.296,-4.469,1,0.0564,182.067,0.321
Drunk On Your Love,Brett Eldredge,0.414,0.443,173960,0.831,0,11,0.204,-5.606,1,0.0616,182.064,0.588
I Wanna Be Sedated (feat. The Defects),The Mahones,0.037,0.412,171130,0.981,0.00000251,4,0.36,-4.647,1,0.0691,182.038,0.61
Is There More to Life? (feat. Diggs Duke),Tall Black Guy,0.0254,0.565,331013,0.618,0.327,11,0.203,-10.841,0,0.0837,182.022,0.411
"Sit Still, Look Pretty",Daya,0.141,0.657,202221,0.739,0,2,0.178,-4.081,1,0.274,181.994,0.543
Nightmare Inc.,A Traitor Like Judas,0.00000708,0.333,249827,0.931,0.0825,7,0.478,-5.102,1,0.0632,181.993,0.241
Stir Fry,Migos,0.00263,0.817,190288,0.816,0,2,0.159,-5.402,1,0.269,181.982,0.508
Beachin',Jake Owen,0.344,0.527,191040,0.902,0.0000463,6,0.0669,-5.352,1,0.0601,181.964,0.709
JL,Dj Spinna,0.0562,0.8,153442,0.706,0.929,7,0.0586,-6.943,1,0.0833,181.954,0.973
One Armed Man (Play On),Project 86,0.0000141,0.323,224467,0.96,0.562,0,0.236,-4.072,1,0.0589,181.891,0.515
One Armed Man (Play On),Project 86,0.0000141,0.323,224467,0.96,0.562,0,0.236,-4.072,1,0.0589,181.891,0.515
¿Dónde Estarás?,Raymix,0.136,0.551,231107,0.544,0,7,0.192,-7.608,0,0.0302,181.859,0.916
Murky,Dj Spinna,0.00573,0.564,120869,0.644,0.879,7,0.0693,-9.445,1,0.0459,181.791,0.733
Converter,Mega Drive,0.000419,0.335,402885,0.665,0.0362,1,0.112,-6.678,1,0.0682,181.745,0.0622
Rock and Scissors,Michael Schulte,0.433,0.393,201818,0.558,0,7,0.123,-5.872,0,0.045,181.735,0.236
Scraps of the Dead,Invincible Force,0.0202,0.251,134160,0.998,0.845,8,0.37,-4.637,1,0.211,181.658,0.0743
Ain't Nothing To It,Marionette,0.00000364,0.167,166554,0.702,0.0000892,9,0.26,-14.238,0,0.0429,181.632,0.618
"Trial by Fire - Live @ Paramount Theatre, Huntington, New York",Testament,0.0000936,0.158,280733,0.957,0.122,10,0.971,-8.401,0,0.113,181.493,0.213
That Was Yesterday,Leon Bridges,0.926,0.382,230013,0.33,0.000578,9,0.0744,-6.182,1,0.0435,181.455,0.3
Dark Knight Dummo,Trippie Redd Featuring Travis Scott,0.167,0.28,256163,0.821,0,8,0.139,-2.864,0,0.111,181.444,0.254
Mind Over Matter,The Rival Mob,0.000007,0.137,116520,0.879,0.85,2,0.134,-7.838,1,0.0421,181.288,0.576
Sacrifice,Invincible Force,0.00285,0.267,227879,0.999,0.00257,1,0.104,-3.412,0,0.131,181.013,0.0381
How Far I'll Go,Alessia Cara,0.163,0.31,175507,0.54,0.000129,9,0.0713,-9.629,1,0.346,180.994,0.148
Crazy Town,Jason Aldean,0.13,0.43,183440,0.841,0,6,0.0517,-2.99,1,0.037,180.977,0.489
Batalla Final,Dangerous,0.0000161,0.156,208661,0.991,0.00136,7,0.232,-4.497,1,0.209,180.684,0.175
Bible Study,Darrell Mansfield,0.005,0.192,442307,0.958,0.0000464,10,0.716,-5.102,1,0.16,180.569,0.311
No Regrets,Hella,0.1,0.447,218044,0.943,0.0000411,10,0.309,-3.009,1,0.196,180.523,0.532
Every Day is Christmas,Sass Dragons,0.000121,0.157,200080,0.902,0.00177,2,0.204,-5.335,1,0.0586,180.477,0.356
When A Woman Loves,R. Kelly,0.498,0.328,310560,0.447,0,5,0.174,-5.647,1,0.0515,180.336,0.404
Madness,Muse,0.127,0.502,281040,0.417,0.00419,10,0.106,-7.665,1,0.0718,180.301,0.218
Follow God,Kanye West,0.000248,0.529,104591,0.9,0.0000121,1,0.0426,-3.503,1,0.418,180.291,0.434
Vaadi Pulla Vaadi,Hiphop Tamizha,0.342,0.473,246700,0.941,0.0000892,9,0.275,-5.431,1,0.062,180.195,0.303
Pop Apology,Should,0.0113,0.28,210598,0.746,0.979,5,0.207,-8.305,0,0.0365,180.175,0.279
Make It Sweet,Old Dominion,0.0373,0.424,187000,0.837,0,7,0.0665,-4.453,1,0.0472,180.166,0.555
What Now,Rihanna,0.0476,0.402,243093,0.696,0,8,0.628,-4.799,0,0.0448,180.158,0.227
You Are the Victim,Satanika,0.000173,0.394,148000,0.989,0.909,7,0.318,-5.055,1,0.262,180.137,0.16
Timeless,A Boogie Wit da Hoodie Featuring DJ SPINKING,0.261,0.569,184000,0.761,0.00000671,5,0.0748,-6.071,0,0.475,180.122,0.325
Fireflies,Owl City,0.0274,0.513,228347,0.661,0,3,0.118,-6.8,1,0.0439,180.118,0.461
Indie Kid,Missing Andy,0.0019,0.51,201446,0.912,0,11,0.282,-4.601,0,0.0764,180.113,0.655
The Gold,Manchester Orchestra,0.00119,0.394,273067,0.689,0.0131,9,0.176,-6.648,1,0.0385,180.111,0.457
Naima - Take 2,John Coltrane,0.878,0.305,248840,0.42,0.0809,8,0.469,-9.924,1,0.049,180.11,0.252
Freddy,Angerfist,0.05,0.364,165333,0.974,0.0316,11,0.165,-2.99,0,0.364,180.11,0.127
Static,Scibex,0.000219,0.261,350302,0.908,0.00118,1,0.106,-5.605,1,0.0871,180.095,0.219
Later On,The Swon Brothers,0.0544,0.411,217160,0.903,0,2,0.104,-2.948,1,0.144,180.078,0.614
