track,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
What I Like About You (feat. Theresa Rex),Jonas Blue,0.289,0.46,220396,0.8,0.00000616,1,0.121,-3.584,1,0.05,102.46,0.553
With You,Kaskade,0.123,0.362,180840,0.921,0,1,0.19,-3.815,0,0.486,172.191,0.529
Body Back (feat. Maia Wright),Gryffin,0.0948,0.686,214634,0.83,0.00000133,8,0.182,-4.437,1,0.0369,123.032,0.486
Not Ok,Kygo,0.0292,0.618,210944,0.66,0.00000207,11,0.325,-8.14,0,0.0372,105,0.408
Ruin My Life,Zara Larsson,0.423,0.665,190932,0.699,0,11,0.0969,-5.265,1,0.0578,124.896,0.585
I Wanna Know (feat. Bea Miller),NOTD,0.0253,0.661,197939,0.725,0,6,0.123,-4.859,1,0.0563,119.927,0.605
Better With You,3LAU,0.0196,0.571,192941,0.752,0.0000692,3,0.114,-4.872,1,0.0293,102.043,0.25
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,0.381,0.591,215316,0.705,0.000116,9,0.131,-6.519,0,0.079,121.799,0.27
Polaroid,Jonas Blue,0.29,0.652,193377,0.898,0,7,0.073,-4.481,0,0.0361,114.043,0.472
Lost In Japan - Remix,Shawn Mendes,0.0911,0.706,201253,0.855,0,10,0.347,-5.377,1,0.215,107.184,0.293
In Your Arms (with X Ambassadors),ILLENIUM,0.198,0.404,220730,0.806,0,2,0.114,-4.75,1,0.0496,148.036,0.112
I'm Not Alright,Loud Luxury,0.0812,0.876,185062,0.856,0.00000129,4,0.457,-3.884,1,0.0486,121.991,0.685
SOS,Avicii,0.272,0.802,157202,0.645,0,5,0.119,-6.181,0,0.0715,100.001,0.376
Harder,Jax Jones,0.0909,0.906,159753,0.832,0,5,0.152,-3.004,0,0.0718,104.03,0.751
The Middle,Zedd,0.171,0.753,184732,0.657,0,7,0.112,-3.061,1,0.0449,107.01,0.437
Wanted,NOTD,0.185,0.693,160998,0.674,0,5,0.0639,-4.449,1,0.0723,95.972,0.378
Crash Into Me,Steve Aoki,0.00246,0.672,226093,0.815,0,1,0.577,-6.476,0,0.0981,115.033,0.341
Need Your Love (with Noah Kahan),Gryffin,0.16,0.581,205787,0.76,0,0,0.183,-3.962,1,0.0406,104.099,0.523
Good Things Fall Apart (with Jon Bellion),ILLENIUM,0.0128,0.643,216668,0.594,0,2,0.118,-5.453,1,0.0318,144.033,0.442
Don't Call Me Up,Mabel,0.296,0.674,178480,0.881,0.00000301,9,0.0793,-2.853,1,0.147,98.994,0.234
Nostalgic,A R I Z O N A,0.246,0.691,182668,0.538,0.163,0,0.178,-9.952,1,0.103,99.972,0.329
Let It Be Me,Steve Aoki,0.0797,0.661,224061,0.758,0,7,0.106,-5.299,1,0.0864,114.098,0.387
Lovers + Strangers,Starley,0.109,0.653,178501,0.69,0,1,0.136,-5.003,1,0.0756,110.214,0.652
Sad Song (feat. TINI),Alesso,0.0878,0.734,154024,0.693,0,0,0.341,-6.474,1,0.0361,110.021,0.55
Sleepless Nights,ayokay,0.0563,0.663,197880,0.696,0.00000625,11,0.226,-5.994,1,0.0349,139.98,0.449
Save Me Tonight,ARTY,0.0113,0.55,170079,0.899,0.0000965,5,0.137,-3.284,0,0.0458,125.85,0.408
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,0.15,0.703,193613,0.868,0.132,7,0.104,-4.661,0,0.0291,121.03,0.733
No Sleep (feat. Bonn),Martin Garrix,0.129,0.44,207095,0.635,0,11,0.121,-6.385,1,0.0326,128.133,0.327
Feel Good (feat. Daya),Gryffin,0.22,0.625,248156,0.707,0,2,0.213,-4.761,1,0.0337,138.064,0.479
Endless Summer,Cashae,0.048,0.625,202072,0.719,0,4,0.0668,-5.541,1,0.0612,101.091,0.326
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,0.145,0.547,186805,0.795,0,8,0.11,-3.721,1,0.0489,118.118,0.723
Think About You,Kygo,0.166,0.673,208567,0.596,0,10,0.11,-7.891,1,0.0354,123.969,0.19
Party For One,Carly Rae Jepsen,0.0453,0.699,184533,0.633,0,6,0.101,-6.547,1,0.0362,123.449,0.458
Ritual,Tiësto,0.157,0.647,198996,0.726,0,3,0.0844,-4.389,0,0.0552,114.996,0.767
Electricity (with Dua Lipa),Silk City,0.0104,0.588,238173,0.67,0.00000333,0,0.338,-6.439,1,0.0473,118.159,0.505
Lie,Shallou,0.295,0.655,215446,0.427,0.00108,2,0.0788,-11.684,0,0.0799,107.992,0.224
I Found You (with Calvin Harris),benny blanco,0.0264,0.79,189165,0.865,0.0892,6,0.24,-4.159,1,0.0438,122.99,0.362
Now That I Found You,Carly Rae Jepsen,0.0145,0.611,200318,0.737,0,0,0.107,-5.154,0,0.0476,124.169,0.574
All Comes Back To You,R3HAB,0.524,0.726,160312,0.763,0.00000264,4,0.0943,-6.872,1,0.0882,128.02,0.516
Need U,DVBBS,0.292,0.714,219521,0.705,0.000386,10,0.126,-6.479,1,0.0995,114.994,0.471
First Love,Lost Kings,0.0257,0.619,207428,0.938,0.0000139,5,0.128,-5.245,1,0.35,94.38,0.601
Something Real,Armin van Buuren,0.0446,0.575,179531,0.808,0,1,0.0693,-4.578,1,0.0439,127.922,0.232
TIME,Alesso,0.00627,0.768,166000,0.808,0.00000533,5,0.343,-1.818,1,0.112,119.971,0.664
Something About You (with Rudimental),Elderbrook,0.559,0.767,203200,0.605,0.000363,6,0.193,-5.737,0,0.188,107.042,0.657
Home (feat. Bonn),Martin Garrix,0.0655,0.466,239067,0.612,0.00000407,8,0.132,-4.855,0,0.0307,128.114,0.236
Simple (STVW Remix),FANNYPACK,0.301,0.434,147554,0.917,0.000018,9,0.289,-3.613,0,0.0633,121.967,0.622
Sorry,Joel Corry,0.0547,0.744,188640,0.79,0.000802,8,0.32,-4.617,0,0.0562,125.002,0.847
Spicy (with Diplo & Charli XCX),Herve Pagez,0.0527,0.837,157159,0.818,0.00642,8,0.11,-4.474,0,0.0533,109.993,0.484
The Upside (feat. Elle King),Lindsey Stirling,0.00123,0.514,228502,0.856,0.00000634,2,0.544,-4.285,1,0.0717,117.014,0.351
Stay,Zedd,0.253,0.69,210091,0.622,0,5,0.116,-5.025,0,0.0622,102.04,0.544
Million Voices,Armin van Buuren,0.0142,0.466,187150,0.869,0.00241,3,0.115,-4.275,1,0.0529,126.113,0.185
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,0.157,0.842,212500,0.801,0.00000482,8,0.0642,-4.167,0,0.228,95.881,0.617
Closer (feat. Halsey),The Chainsmokers,0.414,0.748,244960,0.524,0,8,0.111,-5.599,1,0.0338,95.01,0.661
Say My Name (feat. Zyra) - RAC Mix,ODESZA,0.025,0.647,243091,0.624,0.056,9,0.0616,-8.446,1,0.0451,115.002,0.477
Clarity,Zedd,0.0398,0.509,271427,0.781,0,8,0.0749,-3.48,1,0.072,128,0.176
Solo (feat. Demi Lovato),Clean Bandit,0.0441,0.737,222653,0.636,0.0000666,11,0.35,-4.546,0,0.0437,105.005,0.565
Scared to Be Lonely,Martin Garrix,0.0895,0.584,220883,0.54,0,1,0.261,-7.786,0,0.0576,137.972,0.195
Friends (with BloodPop®),Justin Bieber,0.00402,0.743,189467,0.733,0,8,0.304,-5.337,1,0.0375,104.977,0.622
RITMO (Bad Boys For Life),The Black Eyed Peas,0.0334,0.721,221714,0.716,0.00084,10,0.237,-7.037,0,0.0657,104.994,0.667
Promises (with Sam Smith),Calvin Harris,0.0119,0.781,213309,0.768,0.00000491,11,0.325,-5.991,1,0.0394,123.07,0.486
Turn Me On (feat. Vula),Riton,0.0149,0.737,208474,0.828,0.000583,11,0.0862,-4.711,1,0.0396,124.052,0.517
Light,San Holo,0.0857,0.57,239853,0.763,0.00000249,1,0.0932,-4.137,1,0.0573,150.088,0.43
2U,David Guetta,0.225,0.551,194907,0.651,0,8,0.224,-5.828,0,0.0594,144.875,0.562
Something Just Like This,The Chainsmokers,0.0498,0.617,247160,0.635,0.0000144,11,0.164,-6.769,0,0.0317,103.019,0.446
One Kiss (with Dua Lipa),Calvin Harris,0.037,0.791,214847,0.862,0.0000219,9,0.0814,-3.24,0,0.11,123.994,0.592
Heroes (we could be),Alesso,0.0305,0.503,210013,0.748,0,5,0.343,-4.124,1,0.0619,125.896,0.356
It Ain’t Me (with Selena Gomez),Kygo,0.119,0.64,220781,0.533,0,0,0.0864,-6.596,1,0.0706,99.968,0.515
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,0.248,0.658,251627,0.677,0,5,0.368,-6.628,1,0.0393,124.91,0.248
Let Me Love You,DJ Snake,0.0863,0.649,205947,0.716,0.0000263,8,0.135,-5.371,1,0.0349,99.988,0.163
Roses,The Chainsmokers,0.0435,0.713,226739,0.802,0.00377,4,0.309,-7.055,1,0.0561,100.001,0.343
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,0.109,0.596,217347,0.738,0,8,0.0947,-3.109,1,0.0411,127.961,0.461
Latch,Disclosure,0.0159,0.503,255632,0.727,0.0000945,1,0.0895,-5.456,1,0.167,121.985,0.521
Flames,David Guetta,0.0723,0.609,195000,0.726,0.00000845,5,0.0895,-4.346,0,0.0414,93.958,0.362
Sorry,Justin Bieber,0.0797,0.654,200787,0.76,0,0,0.299,-3.669,0,0.045,99.945,0.41
This Is What You Came For,Calvin Harris,0.199,0.63,222160,0.928,0.124,9,0.148,-2.787,0,0.0331,123.963,0.465
Wake Me Up,Avicii,0.0038,0.532,247427,0.783,0.0012,2,0.161,-5.697,1,0.0523,124.08,0.643
In My Mind,Dynoro,0.176,0.694,184560,0.77,0.000011,6,0.118,-5.335,1,0.149,125.905,0.163
Titanium (feat. Sia),David Guetta,0.0679,0.604,245040,0.787,0.15,0,0.127,-3.674,0,0.103,126.062,0.301
Where Are Ü Now,Skrillex,0.0342,0.432,242520,0.74,0.00000659,7,0.14,-5.053,1,0.062,139.42,0.193
Firework,Katy Perry,0.141,0.638,227893,0.832,0,8,0.113,-5.039,1,0.049,124.071,0.648
Mi Gente (feat. Beyoncé),J Balvin,0.0223,0.759,209733,0.716,0,11,0.231,-6.36,0,0.0818,105.009,0.469
Don't You Worry Child - Radio Edit,Swedish House Mafia,0.11,0.614,213169,0.832,0,11,0.185,-3.419,0,0.0522,129.038,0.429
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,0.0106,0.669,237547,0.832,0,0,0.0968,-5.72,1,0.0682,113.035,0.7
Anything Could Happen,Ellie Goulding,0.433,0.702,286322,0.781,0,0,0.135,-4.081,1,0.03,102.997,0.382
Poker Face,Lady Gaga,0.12,0.851,237200,0.806,0.00000133,4,0.121,-4.618,1,0.0786,119.001,0.776
How Deep Is Your Love,Calvin Harris,0.0389,0.738,212640,0.868,0.00171,11,0.388,-4.373,0,0.0731,122.003,0.336
In Your Eyes (feat. Alida),Robin Schulz,0.177,0.57,208222,0.672,0,8,0.0768,-5.89,0,0.0723,120.019,0.448
Wish You Well (with Sigala),Sigala,0.122,0.67,206440,0.89,0,5,0.333,-3.785,0,0.0576,124.967,0.568
With You - LöKii Remix,Kaskade,0.0201,0.708,231480,0.727,0.676,9,0.37,-7.647,1,0.0389,120.012,0.512
Dive,Hot Shade,0.00515,0.654,164490,0.787,0,4,0.144,-4.999,1,0.0502,123.978,0.409
No Goodbye,Paul Kalkbrenner,0.0955,0.945,168547,0.584,0.341,6,0.147,-7.649,0,0.044,124.996,0.626
Work,MOTi,0.0395,0.704,155238,0.929,0.0249,0,0.181,-4.447,1,0.0395,126.055,0.633
Instagram,Dimitri Vegas & Like Mike,0.125,0.765,184558,0.906,0,8,0.423,-2.097,0,0.0965,96.071,0.95
Better Off Without You (feat. Shift K3Y),Becky Hill,0.0566,0.682,198743,0.855,0.000001,7,0.101,-3.282,1,0.0401,124.004,0.304
Butterfly,Molella,0.0922,0.627,159194,0.662,0.000166,7,0.143,-7.104,0,0.0349,124.039,0.596
All The Love You Got,MOTi,0.135,0.762,165714,0.736,0.0538,7,0.113,-7.66,1,0.0778,126.007,0.248
Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,0.00407,0.577,183653,0.844,0.00000613,7,0.499,-3.364,1,0.0406,115.066,0.283
Love Is Not Enough,GATTÜSO,0.00205,0.632,202500,0.816,0.106,8,0.119,-4.584,1,0.0349,127.95,0.134
Lose Control,MEDUZA,0.129,0.598,168387,0.526,0,10,0.14,-8.659,0,0.0415,123.935,0.529
I Wanna Dance,Jonas Blue,0.0906,0.825,184582,0.841,0.00411,0,0.258,-6.433,1,0.135,126.026,0.616
After The Landslide - Club Remix,Matt Simons,0.0191,0.63,240000,0.731,0.00000782,6,0.704,-4.985,1,0.0352,119.997,0.46
Midnight Hour with Boys Noize & Ty Dolla $ign,Skrillex,0.00235,0.795,198839,0.899,0.000392,0,0.199,-4.202,1,0.0685,125.978,0.329
Pon de Replay,Ed Marquis,0.123,0.529,257943,0.717,0.000707,6,0.0363,-7.049,0,0.24,103.99,0.481
So Close,NOTD,0.121,0.7,190302,0.872,0.00000708,10,0.103,-5.896,1,0.0666,125.03,0.761
Look Into My Eyes,Brando,0.123,0.791,154654,0.541,0.0000474,1,0.121,-7.14,1,0.054,115.987,0.433
Not in Control,Glaceo,0.203,0.904,179016,0.633,0.000266,0,0.163,-5.545,1,0.0958,121.995,0.492
BLUE,Tiësto,0.018,0.744,167859,0.725,0.00000929,11,0.212,-6.055,1,0.0303,118.034,0.904
Don't Waste My Time,Kharfi,0.0528,0.772,154286,0.687,0,9,0.834,-6.348,0,0.211,118.116,0.59
Beat Of My Heart,Lost Frequencies,0.127,0.706,183183,0.524,0.00129,6,0.109,-8.804,1,0.026,111.991,0.296
Don't Start Now - Kungs Remix,Dua Lipa,0.0352,0.664,216256,0.699,0,11,0.0612,-7.115,0,0.27,122.019,0.252
Drunken Truth,Steve Void,0.0814,0.781,158091,0.745,0.0000971,1,0.106,-4.942,0,0.0374,110.051,0.498
Jacques,Jax Jones,0.072,0.789,203227,0.547,0.0000921,9,0.0782,-8.738,0,0.0748,120.024,0.48
Something Real,Armin van Buuren,0.0446,0.575,179531,0.808,0,1,0.0693,-4.578,1,0.0439,127.922,0.232
Stay (Don't Go Away) [feat. Raye],David Guetta,0.259,0.669,185943,0.797,0,9,0.199,-5.68,0,0.0624,119.865,0.552
Solid Gold,PNAU,0.0978,0.567,208367,0.946,0.00000137,5,0.0836,-2.245,0,0.0541,104.983,0.295
One Life,Mike Perry,0.0997,0.653,204591,0.757,0,3,0.242,-3.642,1,0.0555,128.015,0.233
All ‘Bout The Money,FAULHABER,0.142,0.721,169964,0.779,0,6,0.143,-4.239,0,0.0606,110.026,0.327
Never Letting Go,Audien,0.0915,0.534,172520,0.765,0.00107,1,0.225,-3.151,1,0.0338,127.978,0.117
Used To Love (with Dean Lewis),Martin Garrix,0.458,0.651,236765,0.693,0,4,0.335,-4.722,1,0.0375,118.97,0.392
Giulia,Prince Paris,0.00395,0.682,153231,0.923,0.00003,0,0.242,-3.273,1,0.0364,130.052,0.37
What Do I Do? - Benny Benassi Remix,Georgia Ku,0.429,0.66,167249,0.827,0,10,0.0923,-5.081,1,0.0789,115.349,0.611
Dreams Of You (feat. Rae Morris),Icarus,0.00108,0.57,291785,0.965,0.523,6,0.201,-4.881,0,0.0348,123.008,0.148
I Will Let You Down (feat. KLARA),Madison Mars,0.199,0.608,182000,0.918,0,0,0.309,-1.137,0,0.0684,126.022,0.422
Carillon (with Achille Lauro),Nahaze,0.062,0.561,242385,0.562,0,9,0.118,-11.431,0,0.15,151.631,0.244
La Vie - Gabry Ponte Mix,DJ Ross,0.0804,0.591,177638,0.88,0,4,0.326,-5.153,0,0.223,127.013,0.482
Lullaby,R3HAB,0.0267,0.626,160184,0.8,0.000138,1,0.0623,-3.988,0,0.035,127.966,0.258
